CA dilluns dimarts dimecres dijous divendres dissabte diumenge
CZ pondělí úterý středa čtvrtek pátek sobota neděle
DE Montag Dienstag Mittwoch Donnerstag Freitag Samstag Sonntag
DK mandag Tirsdag Onsdag Torsdag fredag lørdag Søndag
EN Monday Tuesday Wednesday Thursday Friday Saturday Sunday
ES lunes martes miércoles jueves viernes sábado domingo
FI maanantai tiistai keskiviikko torstai perjantai lauantai sunnuntai
FR lundi Mardi Mercredi Jeudi Vendredi Samedi Dimanche
IS Mánudagur Þriðjudagur Miðvikudagur Fimmtudagur Föstudagur Laugardagur Sunnudagur
GR Δευτέρα Τρίτη Τετάρτη Πέμπτη Παρασκευή Σάββατο Κυριακή
HU hétfő kedd szerda csütörtök péntek szombat vasárnap
IT lunedì martedì mercoledì giovedì venerdì sabato domenica
NL maandag dinsdag woensdag donderdag vrijdag zaterdag Zondag
VI thứ_hai thứ_ba thứ_tư thứ_năm thứ_sáu thứ_Bảy Chủ_nhật
PL poniedziałek wtorek środa czwartek piątek sobota niedziela
RO luni marţi miercuri joi vineri sâmbătă duminică
RU понедельник вторник среда Четверг Пятница Суббота воскресенье
SE måndag tisdag onsdag torsdag fredag lördag söndag
SI ponedeljek torek sreda četrtek petek sobota nedelja
SK pondelok utorok streda štvrtok piatok sobota nedeľa
