"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0057, seq=137/35072, ttl=64 (no response found!)"
"2","0.001672","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0068, seq=195/49920, ttl=64 (no response found!)"
"3","0.002600","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0061, seq=96/24576, ttl=64 (no response found!)"
"4","0.003574","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0074, seq=20/5120, ttl=64 (no response found!)"
"5","0.004457","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=97/24832, ttl=64 (no response found!)"
"6","0.005285","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0061, seq=29/7424, ttl=64 (no response found!)"
"7","0.006119","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=22/5632, ttl=64 (no response found!)"
"8","0.006967","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006d, seq=81/20736, ttl=64 (no response found!)"
"9","0.007952","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=198/50688, ttl=64 (no response found!)"
"10","0.008430","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0073, seq=108/27648, ttl=64 (no response found!)"
"11","0.008896","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0073, seq=59/15104, ttl=64 (no response found!)"
"12","0.009367","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x002c, seq=127/32512, ttl=64 (no response found!)"
"13","0.009898","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=105/26880, ttl=64 (no response found!)"
"14","0.010478","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0079, seq=23/5888, ttl=64 (no response found!)"
"15","0.011213","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006f, seq=147/37632, ttl=64 (no response found!)"
"16","0.011911","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0075, seq=4/1024, ttl=64 (no response found!)"
"17","0.012609","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=55/14080, ttl=64 (no response found!)"
"18","0.013306","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0077, seq=191/48896, ttl=64 (no response found!)"
"19","0.013992","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0069, seq=106/27136, ttl=64 (no response found!)"
"20","0.014672","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006c, seq=114/29184, ttl=64 (no response found!)"
"21","0.015352","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006c, seq=178/45568, ttl=64 (no response found!)"
"22","0.016100","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=24/6144, ttl=64 (no response found!)"
"23","0.016851","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006e, seq=182/46592, ttl=64 (no response found!)"
"24","0.017701","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=146/37376, ttl=64 (no response found!)"
"25","0.018405","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=129/33024, ttl=64 (no response found!)"
"26","0.019117","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0064, seq=140/35840, ttl=64 (no response found!)"
"27","0.019802","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=194/49664, ttl=64 (no response found!)"
"28","0.020530","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0074, seq=35/8960, ttl=64 (no response found!)"
"29","0.021146","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006f, seq=171/43776, ttl=64 (no response found!)"
"30","0.021598","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=121/30976, ttl=64 (no response found!)"
"31","0.022041","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0072, seq=123/31488, ttl=64 (no response found!)"
"32","0.022507","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=38/9728, ttl=64 (no response found!)"
"33","0.022982","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006f, seq=152/38912, ttl=64 (no response found!)"
"34","0.023390","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0072, seq=80/20480, ttl=64 (no response found!)"
"35","0.023798","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0064, seq=133/34048, ttl=64 (no response found!)"
"36","0.024194","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=205/52480, ttl=64 (no response found!)"
"37","0.024589","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0072, seq=48/12288, ttl=64 (no response found!)"
"38","0.024997","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=155/39680, ttl=64 (no response found!)"
"39","0.025503","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=179/45824, ttl=64 (no response found!)"
"40","0.025898","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0076, seq=157/40192, ttl=64 (no response found!)"
"41","0.026287","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=56/14336, ttl=64 (no response found!)"
"42","0.026677","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0072, seq=189/48384, ttl=64 (no response found!)"
"43","0.027066","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0079, seq=180/46080, ttl=64 (no response found!)"
"44","0.027455","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0074, seq=186/47616, ttl=64 (no response found!)"
"45","0.027845","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0068, seq=151/38656, ttl=64 (no response found!)"
"46","0.028241","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0069, seq=184/47104, ttl=64 (no response found!)"
"47","0.028630","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006e, seq=162/41472, ttl=64 (no response found!)"
"48","0.029024","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0067, seq=26/6656, ttl=64 (no response found!)"
"49","0.029418","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=126/32256, ttl=64 (no response found!)"
"50","0.029842","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0074, seq=175/44800, ttl=64 (no response found!)"
"51","0.030242","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x006f, seq=18/4608, ttl=64 (no response found!)"
"52","0.030654","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=47/12032, ttl=64 (no response found!)"
"53","0.031050","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0067, seq=213/54528, ttl=64 (no response found!)"
"54","0.031534","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0065, seq=160/40960, ttl=64 (no response found!)"
"55","0.031949","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0074, seq=116/29696, ttl=64 (no response found!)"
"56","0.032337","127.0.0.1","127.0.0.1","ICMP","43","Echo (ping) request  id=0x0020, seq=32/8192, ttl=64 (no response found!)"
